Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
GSM8263915_1	0.7613633289590624	3.173208687142398
GSM8263915_2	0.4303412672113757	0.9560028073414375
GSM8263916_1	0.8238140820306848	2.3021877239786375
GSM8263916_2	0.3414722758111696	0.9264338264309859
GSM8263917_1	0.9089243350086237	2.211916552196591
GSM8263917_2	0.3812279753535787	1.2846960238541927
GSM8263918_1	0.9491482299435343	3.1067958877801765
GSM8263918_2	0.3538655240332748	0.9285512459671339
GSM8263919_1	0.7691327155641542	2.15108321192074
GSM8263919_2	0.2966572738287823	0.7853604900421074
GSM8263920_1	0.7676729427299271	2.6459947634917675
GSM8263920_2	0.6664823589234914	0.9607327295755692
