Sample	Unique Reads	Duplicate Reads
GSM8263915_1	8507445.0	31659272.0
GSM8263915_2	13299721.0	26866996.0
GSM8263916_1	9502428.0	27108983.0
GSM8263916_2	13166929.0	23444482.0
GSM8263917_1	9853164.0	26779358.0
GSM8263917_2	14744057.0	21888465.0
GSM8263918_1	8978309.0	30327723.0
GSM8263918_2	12878054.0	26427978.0
GSM8263919_1	7843631.0	34204675.0
GSM8263919_2	11891106.0	30157200.0
GSM8263920_1	7622500.0	40373508.0
GSM8263920_2	10454044.0	37541964.0
